student_id,Q1,Q2,Q3,Q4,Q5
5600148421,7,1,6,6,6
5600163621,0,1,2,6,8
5600186321,6,5,9,10,3
5600334721,5,1,2,7,7
5600486621,3,9,9,7,4
5600555421,5,1,6,7,7
5600574721,3,3,4,8,4
5600612321,8,10,8,6,5
5600622121,5,9,6,10,7
5600683121,8,8,4,10,4
5600717621,6,6,5,9,4
5600896121,4,3,5,9,8
5601068921,6,6,4,8,6
5601281121,8,3,8,6,3
5601339021,7,3,6,6,6
5601407321,7,10,2,8,5
5601474121,3,2,6,5,4
5601662921,0,4,7,6,5
5601696221,7,1,5,7,4
5601764221,4,10,9,6,4
5601793121,0,7,5,7,6
5601794821,8,0,9,9,4
5601823321,4,6,8,9,3
5601921921,10,2,5,5,4
5602016921,7,2,6,6,3
5602055821,9,3,6,7,4
5602241621,3,5,3,10,4
5602335421,4,3,3,9,3
5602351421,1,9,3,10,4
5602385021,2,7,7,10,8
5602432421,0,10,9,5,5
5602562621,9,6,2,6,8
5602666721,8,2,3,7,4
5602834721,3,7,7,6,3
5602960421,7,7,7,5,4
5602967621,9,5,9,5,3
5603300021,10,7,9,8,5
5603324921,8,7,6,7,4
5603458621,1,0,4,7,3
5603465821,5,7,9,7,4
5603494721,1,6,8,8,3
5603554521,5,1,4,10,7
5603567021,4,1,9,8,8
5603619521,8,9,4,8,7
5603737721,1,0,2,6,5
5603806521,10,3,9,8,6
5603953621,7,5,3,7,7
5604059521,0,3,9,10,5
5604164621,10,5,3,5,5
5604355821,6,8,7,8,3
5604396121,2,1,2,9,8
5604423221,7,1,7,9,7
5604507321,5,4,6,5,5
5604533821,1,8,8,8,8
5604543721,1,2,7,8,4
5604591221,5,3,3,7,3
5604844421,8,8,5,5,8
5604878221,9,5,3,5,6
5604891721,9,2,2,6,7
5605072021,4,8,7,10,6
5605082021,9,9,9,10,3
5605104321,10,3,6,6,6
5605206221,7,4,6,8,6
5605225521,10,1,2,6,4
5605337521,2,6,7,7,3
5605415921,0,10,8,5,7
5605438821,5,10,9,5,3
5605554421,8,1,5,10,8
5605585921,4,2,4,9,8
5605699821,2,3,9,6,8
5605977721,8,1,7,6,3
5606064221,5,0,4,9,8
5606198521,2,8,5,7,7
5606218921,8,1,4,6,5
5606315321,8,2,6,8,4
5606347221,0,2,5,9,6
5606428521,4,1,7,7,5
5606448721,6,2,5,5,8
5606503721,10,0,7,8,7
5606621921,4,6,3,5,7
5606648721,4,7,6,8,3
5606694321,2,10,2,8,7
5606714021,8,5,8,5,5
5606785321,7,0,4,9,4
5607066621,1,5,3,7,5
5607095421,4,7,9,10,8
5607134621,0,6,5,7,6
5607383721,10,10,5,7,8
5607420421,6,1,4,9,5
5607469521,4,4,6,5,8
5607721221,9,5,5,8,7
5607807621,4,9,6,9,3
5607898521,4,5,4,6,5
5607923221,4,0,5,7,4
5607950521,5,7,6,9,5
5608041221,5,1,2,9,7
5608358021,0,2,6,7,5
5608590921,2,3,5,10,7
5608719221,10,3,7,10,7
5608831521,0,4,7,6,4
5608855721,6,9,6,10,7
5609249221,10,0,6,8,7
5609312521,10,0,5,5,6
5609445121,6,9,9,8,3
5609460721,8,8,8,9,7
5609555221,0,7,6,8,7
5609572821,10,8,4,8,7
5609610521,2,0,5,8,6
5609615421,10,5,5,9,4
5609617021,9,0,8,5,7
5609717321,9,9,9,5,5
5609736621,4,2,2,5,5
5610042521,2,9,4,9,7
5610067321,0,6,3,7,8
5610272621,7,9,2,5,3
5610396421,1,4,5,6,6
5610453621,0,5,3,7,3
5610492021,10,9,9,6,4
5610627821,0,8,7,8,5
5610774321,8,0,5,10,3
5610986121,6,7,8,9,8
5611122021,2,9,9,7,3
5611122221,9,2,9,5,4
5611169321,10,5,9,9,5
5611268921,1,3,4,9,5
5611503821,7,3,7,5,3
5611592121,7,7,7,6,3
5611669921,7,4,5,8,8
5611702821,5,7,8,7,8
5611739321,3,6,9,5,3
5611893921,5,3,5,7,8
5611901621,0,3,3,6,7
5611935821,0,3,7,9,4
5612148321,9,9,2,6,5
5612226421,8,8,5,9,7
5612409921,0,10,2,7,7
5612522521,9,9,4,10,3
5612602321,7,4,2,8,4
5612799921,5,7,6,7,4
5612811821,7,2,9,6,3
5612940021,1,8,5,6,3
5612978021,3,6,4,6,4
5613270121,6,1,8,5,5
5613301921,10,4,8,9,6
5613584121,8,3,5,5,6
5613603621,5,2,2,10,7
5613660121,4,5,7,7,6
5613756521,6,8,9,10,4
5613853021,4,6,7,10,5
5613860221,4,5,9,5,5
5613994721,2,3,9,9,3
5614075421,9,1,4,10,3
5614253321,6,0,5,7,7
5614297221,4,8,6,9,8
5614302221,4,2,3,8,3
5614444721,2,3,3,6,3
5614634521,5,3,7,9,5
5614722321,0,0,9,9,8
5615137621,7,8,8,6,3
5615139521,0,4,6,6,4
5615289521,9,5,9,6,5
5615325821,6,6,8,9,4
5615387721,4,5,4,9,5
5615474221,9,5,6,7,5
5615666421,6,4,2,8,3
5615722221,1,1,5,5,7
5616065321,9,0,7,10,6
5616166921,7,10,6,10,8
5616394921,9,7,8,6,4
5616426421,3,6,7,7,4
5616455221,1,10,7,5,7
5616478621,5,9,3,7,5
5616818921,5,3,4,9,8
5616888521,4,9,2,7,5
5617246221,4,1,7,8,5
5617254021,8,7,7,10,6
5617277621,1,10,6,5,8
5617318521,7,6,7,6,4
5617419221,3,4,4,5,4
5617428321,9,10,4,6,3
5617543621,7,7,5,5,4
5617876421,9,2,5,6,5
5617926021,8,9,6,7,3
5617950821,6,4,4,7,3
5618080621,0,3,5,5,8
5618159121,7,9,5,6,5
5618226721,5,9,4,10,6
5618336221,4,4,3,9,8
5618358921,5,10,3,10,6
5618705521,7,1,5,7,7
5618922721,7,7,2,7,6
5618959821,4,7,7,7,3
5618976321,6,6,7,8,7
5619028121,7,2,7,9,8
5619147421,10,4,5,10,6
5619310221,8,9,3,9,8
5619483921,4,8,8,8,8
5619594621,2,1,2,9,5
5619772721,9,3,4,7,6
5619943821,9,6,4,7,8
5620044521,2,8,6,7,3
5620198621,1,1,4,5,8
5620274321,5,10,6,9,6
5620379121,6,6,7,8,4
5620386521,3,9,4,10,4
