,num,rating,votes
Action,186,6.51,187336.3
Adventure,49,6.62,145701.29
Crime,49,6.55,135958.43
Biography,34,7.22,80150.53
Horror,33,5.93,41901.18
Drama,160,6.76,66104.36
Animation,46,7.12,58185.52
Comedy,172,6.22,40237.16
Mystery,6,5.58,20790.0
Short,35,6.52,608.94
Thriller,5,6.0,5891.4
Western,8,5.77,36223.75
Family,12,6.55,29724.83
Music,11,7.71,182.0
Documentary,70,7.26,376.87
N/A,18,6.55,46.0
Sport,3,7.87,19.0
Romance,2,6.65,373.0
History,2,7.65,23.5
Musical,2,5.5,20.5
Reality-TV,15,5.3,515.93
Talk-Show,1,7.0,5.0
News,1,6.1,39.0
Game-Show,2,4.3,81.5
Fantasy,1,8.8,1500090.0
